Name,Link
a/b/c/d-e vitamins tablet (OTC),https://www.webmd.com/drugs/2/drug-59080-9038/a-b-c-d-e-vitamins-tablet/details
aca b-12 solution (RX),https://www.webmd.com/drugs/2/drug-60350-2038/aca-b-12-solution/details
action b-100 tablet (OTC),https://www.webmd.com/drugs/2/drug-58768-9038/action-b-100-tablet/details
action b-50 capsule (OTC),https://www.webmd.com/drugs/2/drug-58465-9038/action-b-50-capsule/details
action b-50 tablet (OTC),https://www.webmd.com/drugs/2/drug-58465-6106/action-b-50-tablet/details
albertsons vitamin b-12 tablet (),https://www.webmd.com/drugs/2/drug-17573-1249/albertsons-vitamin-b-12-tablet/details
albertsons vitamin b-6 tablet (),https://www.webmd.com/drugs/2/drug-17578-127/albertsons-vitamin-b-6-tablet/details
all b w/c tablet (OTC),https://www.webmd.com/drugs/2/drug-58668-9038/all-b-w-c-tablet/details
altipres-b (OTC),https://www.webmd.com/drugs/2/drug-164345-4172/altipres-b/details
amphotericin b chol sulf cmplx suspension for reconstitution (RX),https://www.webmd.com/drugs/2/drug-14330-9262/amphotericin-b-chol-sulf-cmplx-suspension-for-reconstitution/details
amphotericin b lipid complex suspension (RX),https://www.webmd.com/drugs/2/drug-7706-9262/amphotericin-b-lipid-complex-suspension/details
amphotericin b liposome 50 mg intravenous suspension antifungals-systemic (RX),https://www.webmd.com/drugs/2/drug-4780-9262/amphotericin-b-liposome-suspension-for-reconstitution/details
amphotericin b vial (RX),https://www.webmd.com/drugs/2/drug-13565-5179/amphotericin-b-vial/details
antihem.fviii,sin-chn,b-dm tru solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-171945-6246/antihem-fviii-sin-chn-b-dm-tru-solution-reconstituted-recon-soln/details
antihemoph.fviii,b-dom truncat solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-167973-6246/antihemoph-fviii-b-dom-truncat-solution-reconstituted-recon-soln/details
antihemoph.fviii,hek,b-delete solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-170310-6246/antihemoph-fviii-hek-b-delete-solution-reconstituted-recon-soln/details
antihemophil fviii rec,b-dom trunc peg-exei 2,000(+/-)unit iv solution (RX),https://www.webmd.com/drugs/2/drug-178584-6246/fviii-rec-b-dom-trunc-peg-exei-solution-reconstituted-recon-soln/details
antihemophil fviii,b-dom del solution (RX),https://www.webmd.com/drugs/2/drug-167503-6246/antihemophil-fviii-b-dom-del-solution/details
aoracillin b tablet (RX),https://www.webmd.com/drugs/2/drug-52550-2050/aoracillin-b-tablet/details
auraphene-b drops (OTC),https://www.webmd.com/drugs/2/drug-10032-1171/auraphene-b-drops/details
b and c b-complex tablet (OTC),https://www.webmd.com/drugs/2/drug-10607-9038/b-and-c-b-complex-tablet/details
b and c capsule (),https://www.webmd.com/drugs/2/drug-58561-9038/b-and-c-capsule/details
b and c capsule (),https://www.webmd.com/drugs/2/drug-8320-9038/b-and-c-capsule/details
b and o 15-a supprette suppository (RX),https://www.webmd.com/drugs/2/drug-1342-278/b-and-o-15-a-supprette-suppository/details
b and o 16-a supprette suppository (RX),https://www.webmd.com/drugs/2/drug-6371-278/b-and-o-16-a-supprette-suppository/details
b complete tablet (OTC),https://www.webmd.com/drugs/2/drug-17734-6106/b-complete/details
b complex (),https://www.webmd.com/drugs/2/drug-58482-6106/b-complex/details
b complex + c tablet, extended release (),https://www.webmd.com/drugs/2/drug-58677-6106/b-complex-c-tablet-er/details
b complex 1 (with folic acid) 0.4 mg tablet multivitamins (),https://www.webmd.com/drugs/2/drug-178013-6106/b-complex-number-1/details
b complex 1 tablet (),https://www.webmd.com/drugs/2/drug-20923-6106/b-complex-1/details
b complex 100 cr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-151267-6106/b-complex-100-cr-tablet-er/details
b complex 100 tablet (RX/OTC),https://www.webmd.com/drugs/2/drug-1967-6106/b-complex-100-tablet/details
b complex 100 tr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-1246-6106/b-complex-100-tr-tablet-er/details
b complex 50 tablet (OTC),https://www.webmd.com/drugs/2/drug-1969-6106/b-complex-50-tablet/details
b complex b-12 tablet (),https://www.webmd.com/drugs/2/drug-1970-6106/b-complex-b-12-tablet/details
b complex c tablet (),https://www.webmd.com/drugs/2/drug-58665-9038/b-complex-c-tablet/details
b complex formula #1 tablet (),https://www.webmd.com/drugs/2/drug-64173-6106/b-complex-formula-1-tablet/details
b complex formula 1 tablet (),https://www.webmd.com/drugs/2/drug-1971-6106/b-complex-formula-1-tablet/details
b complex mega tablet (OTC),https://www.webmd.com/drugs/2/drug-1972-6106/b-complex-mega-tablet/details
b complex plus vitamin c tablet (),https://www.webmd.com/drugs/2/drug-1973-9038/b-complex-plus-vitamin-c-tablet/details
b complex super tablet (OTC),https://www.webmd.com/drugs/2/drug-1974-6106/b-complex-super-tablet/details
b complex tablet (OTC),https://www.webmd.com/drugs/2/drug-1966-6106/b-complex/details
b complex vitamin plus tablet (RX),https://www.webmd.com/drugs/2/drug-1975-9038/b-complex-vitamin-plus-tablet/details
b complex vitamin tablet (OTC),https://www.webmd.com/drugs/2/drug-58451-6106/b-complex-vitamin-tablet/details
b complex vitamins plus tablet (RX),https://www.webmd.com/drugs/2/drug-1978-9038/b-complex-vitamins-plus-tablet/details
b complex w/ vitamin c tablet (),https://www.webmd.com/drugs/2/drug-58672-9038/b-complex-w-vitamin-c-tablet/details
b complex w/c capsule (),https://www.webmd.com/drugs/2/drug-58580-9038/b-complex-w-c-capsule/details
b complex w/c tablet, extended release (),https://www.webmd.com/drugs/2/drug-58580-6106/b-complex-w-c-tablet-er/details
b complex with b-12 liquid (),https://www.webmd.com/drugs/2/drug-148395-6106/b-complex-with-b-12-liquid/details
b complex with c tablet (),https://www.webmd.com/drugs/2/drug-58666-9038/b-complex-with-c-tablet/details
b complex with c#10-folic acid liquid (),https://www.webmd.com/drugs/2/drug-152657-6106/b-complex-with-c10-folic-acid-liquid/details
b complex with c#20-folic acid capsule (),https://www.webmd.com/drugs/2/drug-165899-6106/b-complex-with-c20-folic-acid-capsule/details
b complex with c-magnesium-zn capsule (OTC),https://www.webmd.com/drugs/2/drug-1985-6106/b-complex-with-c-magnesium-zn-capsule/details
b complex with vitamin c (),https://www.webmd.com/drugs/2/drug-156124-6106/b-complex-with-vitamin-c/details
b complex with vitamin c tablet, extended release (),https://www.webmd.com/drugs/2/drug-58675-6106/b-complex-with-vitamin-c-tablet-er/details
